family,base_family,base_label,feature,feature_label,polarity,positive_min_score,positive_mean_score,guard_max_score,guard_mean_score,separation,margin,improvement_vs_base,separable,D60_D6p169_score,D60_D6p441_score,D60_guard_D4p814_score,D60_guard_D5p627_score,D60_guard_D6p712_score,D21_guard_D4p0_score,D21_guard_D6p4_score,D21_guard_D8p0_score
family_score__lo__projected_logdet_part_action,family_score,family score,projected_logdet_part_action,logdet_part_action,low_trigger,3.1399509537877393,5.896519352174727,1.7544920857994238e-09,3.5136667499754857e-10,1789663788.8549035,3.139950952033247,0.8670978782030236,1.0,3.1399509537877393,8.653087750561715,1.7544920857994238e-09,3.1701939439713555e-11,3.187157622762857e-10,3.2902624698683217e-12,0.0,0.0
family_score__lo__projected_schur_share,family_score,family score,projected_schur_share,schur_share,low_trigger,0.5205529151329317,1.7200662632976769,4.237005542223879e-10,1.230278898358063e-10,1228586816.6688986,0.5205529147092312,0.5952542754432288,1.0,0.5205529151329317,2.919579611462422,4.237005542223879e-10,0.0,3.1374222322980783e-10,7.245615626420437e-13,0.0,0.0
family_score__hi__projected_logdet_part_share,family_score,family score,projected_logdet_part_share,logdet_part_share,high_trigger,0.5205529151329316,1.7200662632976764,4.2370055422238874e-10,1.2302788983580646e-10,1228586816.668896,0.520552914709231,0.5952542754432275,1.0,0.5205529151329316,2.9195796114624213,4.2370055422238874e-10,0.0,3.1374222322980793e-10,7.245615626420436e-13,0.0,0.0
family_score__lo__eymh_parented_prefactor_diag,family_score,family score,eymh_parented_prefactor_diag,eymh_prefactor_diag,low_trigger,2.1571661894950385,4.065872741099664,1.969142342344693e-09,3.727896028217744e-10,1095485147.5726545,2.1571661875258963,0.5307660874509582,1.0,2.1571661894950385,5.97457929270429,1.969142342344693e-09,2.1973803150560227e-11,2.4241557134652285e-10,3.205900088870127e-12,0.0,0.0
family_score__lo__projected_schur_gain,family_score,family score,projected_schur_gain,schur_gain,low_trigger,0.7582609728161374,2.3844170761028876,7.789428574616732e-10,1.9043396674841268e-10,973448778.1132861,0.7582609720371944,0.4716390728235211,1.0,0.7582609728161374,4.010573179389637,7.789428574616732e-10,0.0,3.624233313766843e-10,1.2376116521186302e-12,0.0,0.0
family_score__lo__parent_blockdet_schur_norm,family_score,family score,parent_blockdet_schur_norm,blockdet_schur_norm,low_trigger,0.7582609728161374,2.3844170761028876,7.789428574616732e-10,1.9043396674841274e-10,973448778.1132861,0.7582609720371944,0.4716390728235211,1.0,0.7582609728161374,4.010573179389637,7.789428574616732e-10,0.0,3.624233313766846e-10,1.2376116521186302e-12,0.0,0.0
family_score__lo__projected_schur_action,family_score,family score,projected_schur_action,schur_action,low_trigger,0.6485000268244113,2.082368080212551,6.840865138108181e-10,1.7146307134518556e-10,947979551.9017525,0.6485000261403248,0.4592991505738654,1.0,0.6485000268244113,3.516236133600691,6.840865138108181e-10,0.0,3.436258085769617e-10,1.0661056833335376e-12,0.0,0.0
family_score__lo__parent_blockdet_det_ratio,family_score,family score,parent_blockdet_det_ratio,blockdet_det_ratio,low_trigger,0.6729799347568477,2.1574188948276563,8.667329026147791e-10,2.0363720900562655e-10,776455967.8380581,0.6729799338901148,0.3761954208512178,1.0,0.6729799347568477,3.6418578548984653,8.667329026147791e-10,0.0,3.538203064132484e-10,1.2700450057318485e-12,0.0,0.0
family_score__lo__projected_logdet_schur_response_action,family_score,family score,projected_logdet_schur_response_action,logdet_schur_action,low_trigger,0.589082133179302,1.9272493090344078,7.852213585824742e-10,1.8772515295576418e-10,750211550.8456701,0.5890821323940807,0.36347991616788533,1.0,0.589082133179302,3.2654164848895135,7.852213585824742e-10,0.0,3.4000434990092517e-10,1.125209251185805e-12,0.0,0.0
family_score__lo__parent_blockdet_action,family_score,family score,parent_blockdet_action,blockdet_action,low_trigger,0.5890821331793007,1.9272493090344036,7.85221358582473e-10,1.8772515295576398e-10,750211550.8456696,0.5890821323940794,0.3634799161678851,1.0,0.5890821331793007,3.2654164848895064,7.85221358582473e-10,0.0,3.400043499009251e-10,1.1252092511858018e-12,0.0,0.0
